Name	GWP_constr	GWP_op
NUCLEAR	23.596000	0.000000
CCGT	59.221962	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	1834.402309	0.000000
WIND_ONSHORE	207.616667	0.000000
WIND_OFFSHORE	72.665833	0.000000
HYDRO_RIVER	3.630607	0.000000
GEOTHERMAL	0.000000	0.000000
Biomass_power_only	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.000000	0.000000
IND_BOILER_WOOD	1.828364	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	9.832193	0.000000
IND_BOILER_WASTE	3.144050	0.000000
IND_DIRECT_ELEC	0.000000	0.000000
DHN_HP_ELEC	78.425712	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	245.999874	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000
DEC_BOILER_WOOD	7.019650	0.000000
DEC_BOILER_OIL	0.000000	0.000000
DEC_SOLAR	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	16949.780660	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000
PHS	1.082900	0.000000
BATT_LI	0.000000	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
