Technologies param,f_min,f_max,fmin_perc
NUCLEAR,2.484,3.036,0.0
PV_ROOFTOP,0.02,2.0,0.0
PV_UTILITY,0.0,1.0,0.0
PT_POWER_BLOCK,0.0,0.0,0.0
ST_POWER_BLOCK,0.0,0.0,0.0
PT_COLLECTOR,0.0,0.0,0.0
ST_COLLECTOR,0.0,0.0,0.0
WIND_ONSHORE,1.35,2.1,0.0
WIND_OFFSHORE,0.0,0.1,0.0
HYDRO_DAM,1.21,2.383000000000054,0.0
HYDRO_RIVER,2.94,3.59,0.0
TIDAL_STREAM,0.0,0.0,0.0
TIDAL_RANGE,0.0,0.0,0.0
WAVE,0.0,0.0,0.0
GEOTHERMAL,0.0,0.3,0.0
DHN_DEEP_GEO,0.0,0.0,0.0
DHN_SOLAR,0.0,56.34500012203442,0.0
DEC_SOLAR,0.0,56.34500012203442,0.0
DAM_STORAGE,0.001,0.001,0.0
PHS,0.001,0.001,0.0
COAL_US,3.5,4.5,0.0
CCGT,0.6,1.5,0.0
CCGT_AMMONIA,0.0,0.0,0.0
COAL_IGCC,0.0,0.0,0.0
DHN_COGEN_GAS,0.6,1.5,0.0
DHN_BOILER_OIL,0.4,500.0,0.0
IND_BOILER_OIL,0.2,500.0,0.0
IND_BOILER_GAS,0.0,500.0,0.0
IND_BOILER_WOOD,0.0,500.0,0.0
IND_BOILER_COAL,0.0,500.0,0.0
DHN_BOILER_GAS,0.0,500.0,0.0
DHN_BOILER_WOOD,0.0,500.0,0.0
CAR_PHEV,0.0,0.02,0.0
CAR_BEV,0.0,0.02,0.0
